Name,Nationality,Year Born,Undergraduate,Graduate
Juul Kraijer,Dutch,1970,Academy of Fine Arts Vienna,None
Elke Krystufek,Austrian,1970,Academy of Fine Arts Vienna,None
Beatrix Zobl,Austrian,1970,Academy of Fine Arts Vienna,None
Yael Bartana,Israeli,1970,Bezalel Academy of Arts and Design,School of Visual Arts
Haluk Akakçe,Turkish,1970,Bilkent University,Royal College of Art in London
Richard Billingham,British,1970,Bournville College,University of Sunderland
Sharon Hayes,American,1970,Bowdoin College,UCLA
Martin Wattenberg,American,1970,Brown University,Stanford University
Jenny Perlin,American,1970,Brown University,School of the Art Institute of Chicago
Anne Collier,American,1970,California Institute of the Arts,UCLA
Seb Patane,Italian,1970,Central St Martins College of Art & Design,Goldsmiths University
Shelley Eshkar,American,1970,Cooper Union ,None
Kader Attia,French,1970,Ecole nationale superieure des arts decoratifs,None
Marepe,Brazilian,1970,Federal University of Bahia,Woodbury University
Carlos Amorales,Mexican,1970,Gerrit Rietveld Academy,Rijksakademie
James Auger,British,1970,Glasgow School of Art,Royal College of Art 
Gabriel Kuri,Mexican,1970,Goldsmiths College,Escuela Nacional de Artes Plásticas
Zheng Guogu,Chinese,1970,Guangdong Academy of Art,None
Rob Swainston,American,1970,Hampshire College,Columbia University
Diango Hernandez,Cuban,1970,Havana Superior Institute of Design,None
Silke Otto-Knapp,German,1970,Hildesheim,Chelsea College of Art and Design
Norbert Bisky,German,1970,Hochschule der Künste,None
Frank Magnotta,American,1970,Hope College,University of Illinois
Harri Koskinen,Finnish,1970,Institute of Art and Design,None
Alexandre Arrechea,Cuban,1970,Instituto Superior de Arte,None
Esterio Segura,Cuban,1970,Instituto Superior de Arte,None
Katja Strunz,German,1970,Johannes Gutenberg-University Mainz,State Academy of Fine Arts Karlsruhe
Julie Mehretu,American,1970,Kalamazoo College,Rhode Island School of Design
Louise Campbell,Danish,1970,London College of Furniture,Royal Danish Academy of Fine Arts
Fernando Guerra,Portuguese,1970,Lusíada University,None
Thomas Heatherwick,British,1970,Manchester Polytechnic,Royal College of Art
Emily Jacir,American,1970,Memphis College of Art,None
Memed Erdener,Turkish,1970,Mimar Sinan Fine Arts University,None
Sanford Biggers,American,1970,Morehouse College,School of the Art Institute of Chicago
Maurizio Ficcadenti,Italian,1970,N/A,N/A
Markus Nevalainen,Finnish,1970,N/A,N/A
Vesa Hinkola,Finnish,1970,N/A,N/A
Chris Dondorp,Dutch,1970,N/A,N/A
Kumi Machida,Japanese,1970,N/A,N/A
Hill Jephson Robb,Scottish,1970,N/A,The Royal College of Art
Paul Edmunds,South African,1970,N/A,University of Natal
Phillip Pisciotta,American,1970,N/A,N/a
Marti Cormand,Spanish,1970,N/a,University of Barcelona
Teresa Moro,Spanish,1970,N/A,N/A
Ed Kilduff,American,1970,N/A,N/A
Richard Perez,South African,1970,N/A,N/A
Stacy Benjamin,American,1970,N/A,N/A
Rosa Brückl,Austrian,1970,N/A,N/A
Gregor Schmoll,Austrian,1970,N/A,N/A
Jeroen de Rijke,Dutch,1970,N/A,N/A
Jan Edler,German,1970,N/A,N/A
Chris Cunningham,British,1970,N/A,N/A
El Hadi Jazairy,Algerian,1970,N/A,Cornell
Torbjørn Rødland,Norwegian,1970,National College of Art and Design in Bergen,University of Stavanger
Kcho (Alexis Leyva Machado),Cuban,1970,National School of Plastic Arts,None
Kaari Upson,American,1970,"New York Studio School of Drawing, Painting and Sculpture",California Institute of the Arts
Alan Chin,American,1970,New York University,None
Xaveer de Geyter,Dutch,1970,None,None
Dr. Lakra (Jerónimo López Ramírez),Mexican,1970,None,None
Olaf Breuning,Swiss,1970,None,None
Jonathan Hoefler,American,1970,None,None
Pietro Roccasalva,Italian,1970,None,None
Christian Vetter,Swiss,1970,None,None
Mauro Restiffe,Brazilian,1970,None,None
Abu Bakarr Mansaray,Sierra Leonean,1970,None,None
Felix Akinniran Olunloyo,Nigerian,1970,None,None
Gauri Gill,Indian,1970,Parsons School of Design,Stanford University
Alex Schweder,American,1970,Pratt Institute,Princeton University
Laura Owens,American,1970,Rhode Island School of Design,California Institute of the Arts
Frank Shepard Fairey,American,1970,Rhode Island School of Design,None
Tobias Frere-Jones,American,1970,Rhode Island School of Design,None
John Newsom,American,1970,Rhode Island School of Design,New York University
Runa Islam,British,1970,Rijksakademie van Beeldende Kunsten,Royal College of Art
Malachi Farrell,Irish,1970,Rijksakademie van Beeldende Kunsten,None
Bonnie Camplin,British,1970,Central St Martins College of Art & Design,Central St Martins College of Art & Design
Christian Schumann,American,1970,San Francisco Art Institute,None
Gary Batty,American,1970,School of the Art Institute of Chicago,Parsons School of Design
Kerim Ragimov,Russian,1970,St. Petersburg Art College,None
Yukiyo Matsushita,Japanese,1970,SUNY ,School of Visual Arts
Stephanie Forsythe,Canadian,1970,Technical University of Nova Scotia,Dalhouse University
Katya Sander,Danish,1970,The Royal Academy for Fine Arts,"The Royal Academy for Fine Arts, Copenhagen"
Zhang Ke,Chinese,1970,Tsinghua University,Harvard
Benjamin Edwards,American,1970,UCLA,Rhode Island School of Design
Oliver Croy,Austrian,1970,University of Applied Arts,None
Loredana Sperini,Swiss,1970,"University of Arts and Design, Zurich","University of Arts and Design, Zurich"
Gareth James,British,1970,University of Auckland,Stanford University 
Tom Wiscombe,American,1970,"University of California, Berkeley",UCLA
Sze Tsung Leong,British,1970,"University of California, Berkeley",Harvard
Ashley Hunt,American,1970,"University of California, Irvine",School of the Art Institute of Chicago
Adam Broomberg,South African,1970,University of Cape Town,Goldsmiths University
Jens Martin Skibsted,Danish,1970,University of Copenhagen,"University of California, Berkeley"
Phil Collins,British,1970,University of Manchester,University of Ulster
Jason Salavon,American,1970,University of Texas at Austin,School of the Art Institute of Chicago
Marco Cianfanelli,South African,1970,University of the Witwatersrand,None
Anna Jermolaewa,Russian,1970,University of Vienna,Academy of Fine Arts in Vienna
Sebastiaan Bremer,Dutch,1970,Vrije Academie,Skowhegan School of Painting and Sculpture 
Bernhard Fuchs,Austrian,1971,Kunstakademie Düsseldorf,Hochschule für Grafik und Buchkunst Leipzig
Christophe Guberan,Swiss,1985,Ecole cantonale d'art de Lausanne ECAL,
Zorawar Sidhu,American,1985,Penn. Academy of the Fine Arts,Hunter College
Garrett Bradley,American,1986,"	Smith College",UCLA
Sondra Perry,American,1986,Alfred University,Columbia University
Petra Cortright,American,1986,California College of the Arts,Parsons School of Design
Li Ming,Chinese,1986,China Academy of Art,None
Marguerite Humeau,French,1986,École des Arts Appliqués,Royal College of Art
Leandro Feal,Cuban,1986,Instituto Superior de Arte,Instituto Superior de Arte
Jacolby Satterwhite,American,1986,Maryland Institute College of Art,University of Pennsylvania
Jesse Louis-Rosenberg,American,1986,MIT,None
Rayed Mohamed,American,1986,None,None
Amy Congdon,British,1986,Norwich University of the Arts,Central St Martins College of Art & Design
Sable Elyse Smith,American,1986,Oglethorpe University,Parsons School of Design
Tabor Robak,American,1986,Pacific Northwest College of Art,None
Pacifico Silano,American,1986,Pennsylvania College of Art & Design,School of Visual Arts
Shawn Sims,American,1986,Pratt Institute,Carnegie Mellon
Raque Ford,American,1986,Pratt Institute ,Rutgers
Tony Lewis,American,1986,School of the Art Institute of Chicago,School of the Art Institute of Chicago
Marina Pinsky,Russian,1986,School of the Museum of Fine Arts Boston,UCLA
Larry Cook,American,1986,SUNY,George Washington University
Artie Vierkant,American,1986,University of Pennsylvania,"University of California, San Diego"
Carolyn Lazard,French,1987,Bard College,University of Pennsylvania
Sean Canty,American,1987,California College of the Arts,Harvard
Lauren Halsey,American,1987,California Institute of the Arts,Yale
Jie Qi,American,1987,Columbia University,MIT
Avery Singer,American,1987,Cooper Union,None
Naomi Elliott,Irish,1987,Goldsmiths College,None
Zora J Murff,American,1987,Iowa State University,University of Nebraska–Lincoln
Sibille Berger,French,1987,N/A,N/A
Jumana Manna,Palestinian,1987,Oslo National Academy of the Arts,California Institute of the Arts
Maggie Lee,American,1987,Pratt Institute,None
B. Ingrid Olson,American,1987,The School of the Art Institute of Chicago,None
Dionne Lee,American,1988,Alfred University,California College of the Arts
Delphine Meriaux,French,1988,Atelier de Sèvres,ENSCI
Adam Khalil,American,1988,Bard College,None
Martine Syms,American,1988,Bard College,School of the Art Institute of Chicago
Fernando Laposse,Mexican,1988,Central St Martins College of Art & Design,None
Meriem Bennani,Moroccan,1988,Cooper Union,the Ecole Nationale Supérieure des Arts Décoratifs
Anthony Nomorosa,,1988,James Madison University,None
Sheelasha Rajbhandari,Nepali,1988,None,Tribuvan University
Federica Fragapane,Italian,1988,Politechnico di Milano,Politechnico di Milano
Kosuke Araki,Japanese,1988,Tama Art University,Royal College of Art
Calvin Marcus,American,1988,University of Oregon,UCLA
Davey Wreden,American,1988,University of Southern California,None
Cameron Rowland,American,1988,Wesleyan University,
Sandra Mujinga,Norwegian,1989,"	Malmö Art Academy",None
Jordan Casteel,American,1989,Agnes Scott College,Yale
Martha Tuttle,American,1989,Bard College,Yale
American Artist,American,1989,California Polytechnic University ,Parsons School of Design
John Edmonds,American,1989,Corcoran School of the Arts and Design,Yale
Olivier van Herpt,Dutch,1989,Design Academy Eindhoven,None
Elle Pérez,American,1989,Maryland Institute College of Art,Yale
Alex Goad,Australian,1989,Monash University,None
Martine Gutierrez,American,1989,Rhode Island School of Design,None
Mark McKeague,Irish,1989,"Royal College of Art, London","Royal College of Art, London"
Alexandra Clotfelter,,1989,Savannah College of Art and Design,None
Walter Price,American,1989,The Art Institute of Washington,Middle Georgia College
Diamond Stingily,American,1990,Columbia College,None
Genesis Baez,American,1990,Massachusetts College of Art & Design,Yale
Joseph Pleass,British,1990,N/A,Sandberg Instituut
Jacqueline Yuan Quinn,American,1990,N/A,N/A
Zhang Han,Chinese,1990,N/A,N/A
Tania Franco Klein,Mexican,1990,N/A,University of the Arts London
Mohammed Iman Fayaz,American,1990,None,None
Zhang Xintong,Chinese,1990,Sun Yat-sen University,Royal College of Art
Zack Khalil,American,1991,Bard College,None
Max Weisel,American,1991,None,None
Lucy Jones,Welsh,1991,Parsons School of Design,None
Farah Al Qasimi,Emirati,1991,Yale,Yale
Louis Fratino,American,1993,Maryland Institute College of Art,None
Aria Dean,American,1993,Oberlin College,None
Tadáskía,Brazilian,1993,Rio de Janeiro State University,Universidade Federal de Rio de Janeiro
Shala Miller,American,1993,School of the Art Institute of Chicago,None
Dana Kavelina,Ukrainian,1995,National Technical University of Ukraine,None
Yuan Ruizhe,Chinese,1997,Beijing University of Civil Engineering and Architecture,Harvard
Liu Liyuan,Chinese,1997,Tsinghua Academy,None